epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,1328.73,0.73594,0.33048,0.94307,0.89164,0.8008,0.78704,0.52715,1.2529,0.50468,1.22285,0.00105324,0.00105324,0.00105324
161,1337.45,0.6968,0.33202,0.93247,0.88748,0.80101,0.77433,0.51205,1.26845,0.52217,1.22683,0.001052,0.001052,0.001052
162,1346.05,0.71322,0.32483,0.94299,0.88464,0.79934,0.75362,0.51098,1.27108,0.51941,1.22909,0.00105076,0.00105076,0.00105076
163,1354.81,0.69198,0.32112,0.92091,0.91096,0.78448,0.82876,0.57126,1.28345,0.51615,1.2344,0.00104952,0.00104952,0.00104952
164,1363.55,0.71223,0.32565,0.93696,0.93716,0.79203,0.82385,0.59037,1.26484,0.50052,1.21939,0.00104829,0.00104829,0.00104829
165,1372.2,0.66864,0.31858,0.92143,0.91667,0.78921,0.82057,0.57811,1.27371,0.49313,1.21917,0.00104705,0.00104705,0.00104705
166,1380.91,0.70965,0.32501,0.92688,0.92288,0.7879,0.82887,0.57576,1.28599,0.49572,1.23177,0.00104581,0.00104581,0.00104581
167,1389.69,0.7205,0.33034,0.94376,0.95189,0.79526,0.82365,0.56717,1.2812,0.4933,1.24038,0.00104458,0.00104458,0.00104458
168,1398.38,0.72132,0.33601,0.9405,0.96274,0.79957,0.81886,0.55721,1.28149,0.46386,1.243,0.00104334,0.00104334,0.00104334
169,1407.02,0.70744,0.33845,0.94338,0.97188,0.80269,0.8223,0.56439,1.27903,0.49902,1.23229,0.0010421,0.0010421,0.0010421
170,1415.68,0.70938,0.32882,0.93498,0.96818,0.79788,0.82811,0.56612,1.27463,0.48874,1.21803,0.00104086,0.00104086,0.00104086
171,1424.47,0.72097,0.33318,0.9349,0.95931,0.79327,0.82332,0.54567,1.28294,0.4999,1.23578,0.00103962,0.00103962,0.00103962
172,1433.29,0.73977,0.33562,0.94922,0.88282,0.79835,0.81942,0.53618,1.28343,0.50493,1.24799,0.00103839,0.00103839,0.00103839
173,1441.98,0.70483,0.33035,0.93011,0.90504,0.79754,0.8361,0.55184,1.27931,0.52432,1.23126,0.00103715,0.00103715,0.00103715
174,1450.68,0.72405,0.3328,0.94452,0.92714,0.79491,0.83563,0.56141,1.29712,0.5193,1.2213,0.00103591,0.00103591,0.00103591
175,1459.45,0.72294,0.33509,0.93642,0.92565,0.79572,0.85125,0.53482,1.29974,0.52342,1.22765,0.00103468,0.00103468,0.00103468
176,1468.09,0.72445,0.34168,0.93696,0.91817,0.79788,0.85252,0.55503,1.31057,0.54245,1.24793,0.00103344,0.00103344,0.00103344
